Sales_Rank,Lead_ID,Lead_Score,Lead_Category,Predicted_Probability,Predicted_Converted,Actual_Converted,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
847,1001,26,Cold,0.25635487,0,0,API,Referral Sites,No,No,6.0,968,3.0,Page Visited on Website,India,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,17.0,13.0,No,No,Modified
848,8163,26,Cold,0.26267293,0,0,Landing Page Submission,Direct Traffic,No,No,2.0,886,2.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,No,SMS Sent
849,383,25,Cold,0.24960324,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
850,1159,25,Cold,0.25049275,0,0,API,Google,No,No,4.0,161,1.0,Olark Chat Conversation,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
851,8474,25,Cold,0.24710476,0,0,Landing Page Submission,Google,No,No,3.0,1218,3.0,Form Submitted on Website,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,High in Relevance,No,No,Tier II Cities,02.Medium,01.High,13.0,17.0,No,No,Modified
852,1328,25,Cold,0.24960324,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
853,9135,25,Cold,0.24960324,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
854,910,25,Cold,0.24896592,0,1,API,Google,No,No,3.0,117,1.5,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
855,2278,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
856,1241,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
857,7093,24,Cold,0.24353857,0,0,Landing Page Submission,Direct Traffic,No,No,16.0,1996,4.0,Page Visited on Website,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Page Visited on Website
858,6727,24,Cold,0.2422583,0,0,Landing Page Submission,Direct Traffic,No,No,5.0,1340,1.67,SMS Sent,India,Healthcare Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Cities,,,,,No,Yes,SMS Sent
859,1229,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
860,2093,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
861,5665,24,Cold,0.2402215,0,0,Landing Page Submission,Google,No,No,3.0,493,3.0,Email Opened,India,Operations Management,,,No,No,No,No,No,No,No,No,,,No,No,Thane & Outskirts,,,,,No,No,Email Opened
862,2518,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
863,762,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
864,8153,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
865,1276,24,Cold,0.23715241,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,506,1.5,Email Opened,India,Operations Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Email Opened
866,2182,24,Cold,0.23974591,0,1,Landing Page Submission,Google,No,No,4.0,45,4.0,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Cities,02.Medium,02.Medium,14.0,16.0,No,No,Modified
867,7612,24,Cold,0.23759939,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
868,6343,23,Cold,0.23433793,0,1,API,Organic Search,No,No,12.0,249,1.71,Email Opened,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
869,782,23,Cold,0.22838001,0,1,API,Olark Chat,No,No,0.0,0,0.0,Olark Chat Conversation,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
870,1560,23,Cold,0.22770967,0,1,API,Olark Chat,No,No,3.0,430,1.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Yes,Email Opened
871,4724,23,Cold,0.22729142,0,1,Landing Page Submission,Google,No,No,4.0,709,4.0,Page Visited on Website,India,Hospitality Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,,,,,No,No,Modified
872,7661,23,Cold,0.22838001,0,0,API,Olark Chat,No,No,0.0,0,0.0,Olark Chat Conversation,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
873,7,23,Cold,0.22838001,0,0,API,Olark Chat,No,No,0.0,0,0.0,Olark Chat Conversation,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
874,566,23,Cold,0.22880235,0,0,Landing Page Submission,Google,No,No,3.0,242,3.0,Email Opened,India,Business Administration,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Opened
875,5650,23,Cold,0.22704217,0,0,API,Olark Chat,Yes,No,0.0,0,0.0,Email Opened,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
876,8178,23,Cold,0.23271663,0,0,Landing Page Submission,Google,No,No,6.0,617,6.0,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
877,2447,22,Cold,0.21885838,0,0,Landing Page Submission,Google,No,No,3.0,1198,3.0,Form Submitted on Website,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Modified
878,2191,22,Cold,0.21635099,0,1,API,Olark Chat,No,No,4.0,40,2.0,Page Visited on Website,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Page Visited on Website
879,730,22,Cold,0.21898971,0,0,API,Google,No,No,3.0,506,1.5,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
880,6253,22,Cold,0.2187812,0,0,Landing Page Submission,Direct Traffic,No,No,4.0,48,4.0,Email Opened,India,Media and Advertising,,,No,No,No,No,No,No,No,No,,,No,No,Tier II Cities,,,,,No,No,Email Opened
881,5943,22,Cold,0.22146025,0,0,Landing Page Submission,Direct Traffic,No,No,4.0,534,4.0,Email Opened,India,Marketing Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities,,,,,No,Yes,Email Opened
882,6234,21,Cold,0.20749871,0,0,Landing Page Submission,Organic Search,No,No,5.0,223,2.5,Email Opened,United Arab Emirates,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities of Maharashtra,,,,,No,Yes,Email Opened
883,1851,21,Cold,0.20568669,0,0,Landing Page Submission,Google,No,No,3.0,203,3.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,No,Email Opened
884,8157,21,Cold,0.21144137,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Link Clicked
885,9029,21,Cold,0.20786013,0,1,API,Olark Chat,No,No,0.0,0,0.0,Olark Chat Conversation,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Modified
886,1230,21,Cold,0.21381602,0,0,API,Olark Chat,No,No,0.0,0,0.0,Olark Chat Conversation,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Olark Chat Conversation
887,3409,21,Cold,0.21290265,0,0,Landing Page Submission,Google,No,No,5.0,323,1.67,Email Opened,India,Business Administration,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,No,Email Opened
888,5172,21,Cold,0.20689656,0,0,Landing Page Submission,Google,No,No,5.0,87,5.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Thane & Outskirts,,,,,No,No,Email Opened
889,853,20,Cold,0.20103453,0,1,API,Google,No,No,6.0,305,3.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,01.High,02.Medium,16.0,15.0,No,No,Olark Chat Conversation
890,1485,20,Cold,0.19908366,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,258,3.0,Email Opened,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities,02.Medium,02.Medium,14.0,16.0,No,No,Email Opened
891,7562,20,Cold,0.19582675,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,02.Medium,16.0,15.0,No,No,Email Link Clicked
892,3801,20,Cold,0.19767849,0,1,Landing Page Submission,Google,No,No,3.0,262,3.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,,,,,No,No,Email Opened
893,4060,20,Cold,0.20477094,0,0,API,Google,Yes,No,1.0,1238,1.0,Email Bounced,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Modified
894,4669,20,Cold,0.19777709,0,0,API,Google,No,No,2.0,238,1.0,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
895,3257,19,Cold,0.19064283,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,126,1.5,Email Opened,India,Hospitality Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities of Maharashtra,,,,,No,Yes,Email Opened
896,7956,19,Cold,0.19163015,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Link Clicked
897,8129,19,Cold,0.18780302,0,0,Landing Page Submission,Direct Traffic,No,No,7.0,961,1.75,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Other Cities,,,,,No,No,SMS Sent
898,7312,19,Cold,0.1854133,0,0,API,Olark Chat,Yes,No,0.0,0,0.0,Email Bounced,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Email Bounced
899,2810,19,Cold,0.18886916,0,0,Landing Page Submission,Google,No,No,4.0,428,4.0,Email Opened,India,"Banking, Investment And Insurance",,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,No,Email Opened
900,6268,18,Cold,0.17690389,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,,,,No,No,SMS Sent
901,8480,18,Cold,0.17660962,0,0,Landing Page Submission,Direct Traffic,No,No,2.0,1393,2.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,,No,No,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Email Opened
902,5691,18,Cold,0.17690389,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,,,,No,No,SMS Sent
903,1333,18,Cold,0.18206377,0,0,Landing Page Submission,Direct Traffic,No,No,1.0,471,1.0,Converted to Lead,India,,,,No,No,No,No,No,No,No,No,,,No,No,,01.High,01.High,16.0,17.0,No,No,Modified
904,4517,18,Cold,0.18082058,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Modified
905,2425,18,Cold,0.17906983,0,0,Landing Page Submission,Organic Search,No,No,3.0,1367,3.0,Page Visited on Website,India,Travel and Tourism,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Cities,02.Medium,02.Medium,15.0,14.0,No,Yes,Modified
906,3358,18,Cold,0.17899072,0,0,Landing Page Submission,Google,No,No,5.0,245,2.5,Email Link Clicked,India,Supply Chain Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Email Link Clicked
907,6796,18,Cold,0.18082058,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Modified
908,3317,18,Cold,0.1808222,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,747,3.0,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Cities,,,,,No,Yes,SMS Sent
909,4499,18,Cold,0.18082058,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Modified
910,4493,18,Cold,0.17690389,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,,,,No,No,SMS Sent
911,4714,18,Cold,0.18082058,0,0,API,Olark Chat,No,No,0.0,0,0.0,SMS Sent,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Modified
912,4656,18,Cold,0.1768588,0,0,Landing Page Submission,Direct Traffic,No,No,8.0,598,4.0,Converted to Lead,India,,Student,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,No,Modified
913,1088,17,Cold,0.17045802,0,0,Landing Page Submission,Direct Traffic,No,No,4.0,1371,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,wrong number given,,No,No,Other Metro Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Email Opened
914,6349,17,Cold,0.17340584,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Link Clicked
915,5107,17,Cold,0.17340584,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Link Clicked
916,5386,17,Cold,0.16726178,0,1,Landing Page Submission,Google,No,No,8.0,396,2.67,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,No,Email Opened
917,5081,17,Cold,0.17340584,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Link Clicked
918,894,17,Cold,0.16990522,0,0,Landing Page Submission,Organic Search,No,No,8.0,36,2.0,Email Opened,India,International Business,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Email Opened
919,9084,17,Cold,0.17053938,0,1,Landing Page Submission,Google,No,No,4.0,1172,4.0,SMS Sent,India,E-COMMERCE,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Cities of Maharashtra,02.Medium,02.Medium,14.0,16.0,No,No,SMS Sent
920,6080,17,Cold,0.17425255,0,0,Landing Page Submission,Direct Traffic,No,No,5.0,1099,2.5,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Metro Cities,,,,,No,Yes,SMS Sent
921,5311,17,Cold,0.17340584,0,0,API,Olark Chat,No,No,0.0,0,0.0,Email Link Clicked,,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Link Clicked
922,4454,17,Cold,0.1735387,0,1,API,Olark Chat,Yes,No,0.0,0,0.0,Unsubscribed,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Unsubscribed
923,5546,16,Cold,0.16230468,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,338,3.0,Email Opened,India,Operations Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities,,,,,No,Yes,Email Opened
924,4601,16,Cold,0.15548418,0,0,Landing Page Submission,Google,No,No,12.0,806,3.0,SMS Sent,India,Travel and Tourism,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Might be,No,No,Other Cities of Maharashtra,,,,,No,No,SMS Sent
925,6019,16,Cold,0.15587272,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,14,3.0,Email Opened,India,Healthcare Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities of Maharashtra,,,,,No,No,Email Opened
926,4829,16,Cold,0.16399397,0,0,API,Google,No,No,3.0,100,1.5,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
927,5776,16,Cold,0.16122071,0,0,API,Google,No,No,3.0,233,1.5,Email Opened,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,Yes,Email Opened
928,7349,16,Cold,0.15832126,0,0,Landing Page Submission,Direct Traffic,No,No,20.0,1633,2.22,Page Visited on Website,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Mumbai,,,,,No,Yes,Page Visited on Website
929,7065,16,Cold,0.16272761,0,0,Landing Page Submission,Direct Traffic,No,No,4.0,1376,4.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,,,,,No,Yes,SMS Sent
930,3038,16,Cold,0.16444525,0,0,API,Google,No,No,2.0,64,1.0,Page Visited on Website,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
931,2513,16,Cold,0.15643668,0,0,Landing Page Submission,Google,No,No,4.0,324,4.0,Email Opened,India,Marketing Management,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,High in Relevance,No,No,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified
932,2721,16,Cold,0.15841043,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,69,1.5,Email Opened,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Thane & Outskirts,,,,,No,Yes,Email Opened
933,2591,15,Cold,0.15064883,0,0,API,Google,No,No,6.0,247,6.0,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
934,5283,15,Cold,0.14624469,0,0,Landing Page Submission,Direct Traffic,Yes,No,74.0,1209,12.33,Page Visited on Website,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Not Sure,No,No,Thane & Outskirts,,,,,No,No,Page Visited on Website
935,549,15,Cold,0.15087822,0,0,Landing Page Submission,Organic Search,No,No,7.0,585,7.0,SMS Sent,India,Travel and Tourism,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,02.Medium,13.0,16.0,No,Yes,Modified
936,185,15,Cold,0.15087128,0,0,API,Organic Search,No,No,5.0,1841,5.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
937,4169,15,Cold,0.15191385,0,0,Landing Page Submission,Direct Traffic,No,No,3.0,34,1.5,Email Opened,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Metro Cities,,,,,No,Yes,Email Opened
938,6858,15,Cold,0.15220249,0,0,Landing Page Submission,Organic Search,No,No,6.0,943,2.0,SMS Sent,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Other Cities of Maharashtra,,,,,No,No,SMS Sent
939,3476,15,Cold,0.15031688,0,0,Landing Page Submission,Google,No,No,6.0,217,3.0,Email Opened,India,Marketing Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,No,Email Opened
940,1248,15,Cold,0.15179853,0,0,Landing Page Submission,Direct Traffic,No,No,2.0,1497,2.0,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Modified
941,5300,15,Cold,0.14692906,0,0,Lead Add Form,Reference,No,No,0.0,0,0.0,SMS Sent,,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,,,,,,No,No,SMS Sent
942,3295,15,Cold,0.15476823,0,0,Landing Page Submission,Direct Traffic,No,No,4.0,86,4.0,Email Opened,India,International Business,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities of Maharashtra,,,,,No,Yes,Email Opened
943,4639,15,Cold,0.15334316,0,0,Landing Page Submission,Direct Traffic,No,No,2.0,91,2.0,Email Opened,India,Supply Chain Management,,,No,No,No,No,No,No,No,No,,,No,No,Other Cities of Maharashtra,,,,,No,Yes,Email Opened
944,6943,15,Cold,0.15446945,0,0,Landing Page Submission,Direct Traffic,No,No,7.0,1591,7.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Mumbai,,,,,No,No,Email Opened
945,2812,15,Cold,0.15220982,0,0,Landing Page Submission,Direct Traffic,No,No,7.0,1720,2.33,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Other Cities,,,,,No,No,Modified
946,3466,15,Cold,0.14629042,0,0,Landing Page Submission,Google,No,No,5.0,1732,5.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Mumbai,,,,,No,No,Email Opened
947,1096,15,Cold,0.14591387,0,0,Landing Page Submission,Google,No,No,3.0,359,3.0,Email Opened,India,Marketing Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Opened
948,5444,14,Cold,0.13846697,0,0,Landing Page Submission,Direct Traffic,No,No,8.0,84,8.0,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Cities of Maharashtra,,,,,No,Yes,SMS Sent
949,4317,14,Cold,0.13768336,0,1,Landing Page Submission,Direct Traffic,No,No,3.0,128,3.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,,,,,No,Yes,Email Opened
950,3164,14,Cold,0.14248402,0,0,Landing Page Submission,Direct Traffic,No,No,5.0,37,5.0,Email Opened,India,Business Administration,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,,,,,No,Yes,Email Opened
951,4461,14,Cold,0.13752618,0,0,Landing Page Submission,Google,No,No,4.0,1579,4.0,SMS Sent,India,E-COMMERCE,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Mumbai,,,,,No,No,SMS Sent
952,3824,14,Cold,0.13522367,0,1,Landing Page Submission,Direct Traffic,No,No,3.0,139,3.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,,No,No,Thane & Outskirts,,,,,No,Yes,Email Opened
953,8543,14,Cold,0.1428504,0,0,Landing Page Submission,Direct Traffic,No,No,4.0,147,4.0,Email Opened,India,E-COMMERCE,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,02.Medium,14.0,15.0,No,Yes,Email Opened
954,825,14,Cold,0.1411415,0,0,Landing Page Submission,Google,No,No,3.0,271,3.0,Email Opened,India,Finance Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Opened
955,2934,14,Cold,0.14222328,0,0,API,Google,No,No,2.0,350,2.0,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
956,2409,14,Cold,0.14180456,0,0,Landing Page Submission,Google,No,No,9.0,351,9.0,Email Opened,India,Media and Advertising,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,17.0,No,No,Email Opened
957,3280,14,Cold,0.14025347,0,0,API,Organic Search,No,No,4.0,135,4.0,Email Opened,India,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,No,No,Email Opened
958,1112,14,Cold,0.14265577,0,0,Landing Page Submission,Direct Traffic,No,No,2.0,1995,2.0,Email Opened,Qatar,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),,No,No,Thane & Outskirts,03.Low,01.High,11.0,17.0,No,Yes,Email Opened
959,6782,14,Cold,0.13524131,0,0,Landing Page Submission,Google,No,No,8.0,233,2.0,Email Opened,India,Human Resource Management,,,No,No,No,No,No,No,No,No,,,No,No,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Email Opened
960,2212,14,Cold,0.14134297,0,0,API,Google,No,No,2.0,1099,2.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
